country,state,date,variable,generation_gwh,share_of_generation_pct,capacity_mw,emissions_ktco2,share_of_emissions_pct
India,Andaman and Nicobar,2019-01-01,Bioenergy,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2019-01-01,Clean,2.56,27.11,,0.1,1.96
India,Andaman and Nicobar,2019-01-01,Coal,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2019-01-01,Fossil,6.88,72.88,,4.82,98.05
India,Andaman and Nicobar,2019-01-01,Gas,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2019-01-01,Hydro,1.12,11.86,,0.03,0.55
India,Andaman and Nicobar,2019-01-01,Nuclear,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2019-01-01,Other Fossil,6.88,72.88,,4.82,98.05
India,Andaman and Nicobar,2019-01-01,Other Renewables,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2019-01-01,Renewables,2.56,27.11,,0.1,1.96
India,Andaman and Nicobar,2019-01-01,Solar,1.44,15.25,,0.07,1.41
India,Andaman and Nicobar,2019-01-01,Wind,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2019-01-01,Wind and solar,1.44,15.25,,0.07,1.41
India,Andaman and Nicobar,2019-02-01,Bioenergy,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2019-02-01,Clean,2.71,28.08,,0.1,2.14
India,Andaman and Nicobar,2019-02-01,Coal,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2019-02-01,Fossil,6.94,71.92,,4.86,97.86
India,Andaman and Nicobar,2019-02-01,Gas,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2019-02-01,Hydro,0.99,10.26,,0.02,0.48
India,Andaman and Nicobar,2019-02-01,Nuclear,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2019-02-01,Other Fossil,6.94,71.92,,4.86,97.86
India,Andaman and Nicobar,2019-02-01,Other Renewables,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2019-02-01,Renewables,2.71,28.08,,0.1,2.14
India,Andaman and Nicobar,2019-02-01,Solar,1.72,17.82,,0.08,1.66
India,Andaman and Nicobar,2019-02-01,Wind,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2019-02-01,Wind and solar,1.72,17.82,,0.08,1.66
India,Andaman and Nicobar,2019-03-01,Bioenergy,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019-03-01,Clean,3.12,31.05,16.98,0.13,2.5
India,Andaman and Nicobar,2019-03-01,Coal,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019-03-01,Fossil,6.93,68.96,40.05,4.85,97.51
India,Andaman and Nicobar,2019-03-01,Gas,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019-03-01,Hydro,1.07,10.65,5.25,0.03,0.52
India,Andaman and Nicobar,2019-03-01,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019-03-01,Other Fossil,6.93,68.96,40.05,4.85,97.51
India,Andaman and Nicobar,2019-03-01,Other Renewables,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019-03-01,Renewables,3.12,31.05,16.98,0.13,2.5
India,Andaman and Nicobar,2019-03-01,Solar,2.05,20.4,11.73,0.1,1.98
India,Andaman and Nicobar,2019-03-01,Wind,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019-03-01,Wind and solar,2.05,20.4,11.73,0.1,1.98
India,Andaman and Nicobar,2019-04-01,Bioenergy,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019-04-01,Clean,2.57,22.75,16.98,0.11,1.74
India,Andaman and Nicobar,2019-04-01,Coal,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019-04-01,Fossil,8.73,77.26,40.05,6.11,98.26
India,Andaman and Nicobar,2019-04-01,Gas,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019-04-01,Hydro,0.63,5.58,5.25,0.02,0.24
India,Andaman and Nicobar,2019-04-01,Nuclear,0.0,0.0,0.0,0.0,0.0
