country,state,year,variable,generation_gwh,share_of_generation_pct,capacity_mw,emissions_ktco2,share_of_emissions_pct
India,Andaman and Nicobar,2019,Bioenergy,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019,Clean,21.73,19.69,17.44,0.86,1.37
India,Andaman and Nicobar,2019,Coal,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019,Fossil,88.62,80.31,40.05,62.03,98.63
India,Andaman and Nicobar,2019,Gas,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019,Hydro,7.55,6.84,5.25,0.18,0.29
India,Andaman and Nicobar,2019,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019,Other Fossil,88.62,80.31,40.05,62.03,98.63
India,Andaman and Nicobar,2019,Other Renewables,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019,Renewables,21.73,19.69,17.44,0.86,1.37
India,Andaman and Nicobar,2019,Solar,14.18,12.85,12.19,0.68,1.08
India,Andaman and Nicobar,2019,Wind,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2019,Wind and solar,14.18,12.85,12.19,0.68,1.08
India,Andaman and Nicobar,2020,Bioenergy,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2020,Clean,35.03,21.73,34.47,1.34,1.49
India,Andaman and Nicobar,2020,Coal,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2020,Fossil,126.22,78.28,40.05,88.35,98.51
India,Andaman and Nicobar,2020,Gas,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2020,Hydro,14.41,8.94,5.25,0.35,0.39
India,Andaman and Nicobar,2020,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2020,Other Fossil,126.22,78.28,40.05,88.35,98.51
India,Andaman and Nicobar,2020,Other Renewables,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2020,Renewables,35.03,21.73,34.47,1.34,1.49
India,Andaman and Nicobar,2020,Solar,20.62,12.79,29.22,0.99,1.1
India,Andaman and Nicobar,2020,Wind,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2020,Wind and solar,20.62,12.79,29.22,0.99,1.1
India,Andaman and Nicobar,2021,Bioenergy,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2021,Clean,35.43,27.08,34.74,1.39,2.04
India,Andaman and Nicobar,2021,Coal,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2021,Fossil,95.43,72.93,40.05,66.8,97.96
India,Andaman and Nicobar,2021,Gas,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2021,Hydro,12.98,9.92,5.25,0.31,0.46
India,Andaman and Nicobar,2021,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2021,Other Fossil,95.43,72.93,40.05,66.8,97.96
India,Andaman and Nicobar,2021,Other Renewables,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2021,Renewables,35.43,27.08,34.74,1.39,2.04
India,Andaman and Nicobar,2021,Solar,22.45,17.16,29.49,1.08,1.58
India,Andaman and Nicobar,2021,Wind,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2021,Wind and solar,22.45,17.16,29.49,1.08,1.58
India,Andaman and Nicobar,2022,Bioenergy,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2022,Clean,37.76,17.57,35.16,1.47,1.17
India,Andaman and Nicobar,2022,Coal,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2022,Fossil,177.17,82.43,92.71,124.02,98.83
India,Andaman and Nicobar,2022,Gas,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2022,Hydro,14.29,6.65,5.25,0.34,0.27
India,Andaman and Nicobar,2022,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2022,Other Fossil,177.17,82.43,92.71,124.02,98.83
India,Andaman and Nicobar,2022,Other Renewables,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2022,Renewables,37.76,17.57,35.16,1.47,1.17
India,Andaman and Nicobar,2022,Solar,23.47,10.92,29.91,1.13,0.9
India,Andaman and Nicobar,2022,Wind,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2022,Wind and solar,23.47,10.92,29.91,1.13,0.9
India,Andaman and Nicobar,2023,Bioenergy,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2023,Clean,35.77,9.72,35.16,1.44,0.62
India,Andaman and Nicobar,2023,Coal,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2023,Fossil,332.49,90.29,92.71,232.74,99.38
India,Andaman and Nicobar,2023,Gas,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2023,Hydro,11.3,3.07,5.25,0.27,0.12
India,Andaman and Nicobar,2023,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2023,Other Fossil,332.49,90.29,92.71,232.74,99.38
India,Andaman and Nicobar,2023,Other Renewables,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2023,Renewables,35.77,9.72,35.16,1.44,0.62
India,Andaman and Nicobar,2023,Solar,24.47,6.65,29.91,1.17,0.5
India,Andaman and Nicobar,2023,Wind,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2023,Wind and solar,24.47,6.65,29.91,1.17,0.5
India,Andaman and Nicobar,2024,Bioenergy,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2024,Clean,43.03,10.64,35.16,1.69,0.67
India,Andaman and Nicobar,2024,Coal,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2024,Fossil,361.4,89.36,92.71,252.98,99.34
India,Andaman and Nicobar,2024,Gas,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2024,Hydro,15.5,3.83,5.25,0.37,0.15
India,Andaman and Nicobar,2024,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2024,Other Fossil,361.4,89.36,92.71,252.98,99.34
India,Andaman and Nicobar,2024,Other Renewables,0.0,0.0,,0.0,0.0
India,Andaman and Nicobar,2024,Renewables,43.03,10.64,35.16,1.69,0.67
India,Andaman and Nicobar,2024,Solar,27.53,6.81,29.91,1.32,0.52
India,Andaman and Nicobar,2024,Wind,0.0,0.0,0.0,0.0,0.0
India,Andaman and Nicobar,2024,Wind and solar,27.53,6.81,29.91,1.32,0.52
India,Andhra Pradesh,2019,Bioenergy,260.99,0.34,500.34,60.03,0.12
India,Andhra Pradesh,2019,Clean,16857.62,22.03,9923.92,488.67,1.01
India,Andhra Pradesh,2019,Coal,56674.98,74.06,11590.0,46473.48,95.96
India,Andhra Pradesh,2019,Fossil,59670.02,77.97,16525.34,47941.05,98.99
India,Andhra Pradesh,2019,Gas,2995.04,3.91,4898.54,1467.57,3.03
India,Andhra Pradesh,2019,Hydro,3133.97,4.1,1772.11,75.22,0.16
India,Andhra Pradesh,2019,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Andhra Pradesh,2019,Other Fossil,0.0,0.0,36.8,0.0,0.0
India,Andhra Pradesh,2019,Other Renewables,7.28,0.01,0.0,0.28,0.0
