country,state,date,variable,generation_gwh,capacity_gw
India,Andaman and Nicobar,2019-01-01,BIO,0.0,
India,Andaman and Nicobar,2019-01-01,COAL,6.88,
India,Andaman and Nicobar,2019-01-01,GAS,0.0,
India,Andaman and Nicobar,2019-01-01,HYDRO,1.12,
India,Andaman and Nicobar,2019-01-01,NUCLEAR,0.0,
India,Andaman and Nicobar,2019-01-01,OTHRENEW,0.0,
India,Andaman and Nicobar,2019-01-01,SOLAR,1.44,
India,Andaman and Nicobar,2019-01-01,WIND,0.0,
India,Andaman and Nicobar,2019-02-01,BIO,0.0,
India,Andaman and Nicobar,2019-02-01,COAL,6.94,
India,Andaman and Nicobar,2019-02-01,GAS,0.0,
India,Andaman and Nicobar,2019-02-01,HYDRO,0.99,
India,Andaman and Nicobar,2019-02-01,NUCLEAR,0.0,
India,Andaman and Nicobar,2019-02-01,OTHRENEW,0.0,
India,Andaman and Nicobar,2019-02-01,SOLAR,1.72,
India,Andaman and Nicobar,2019-02-01,WIND,0.0,
India,Andaman and Nicobar,2019-03-01,BIO,0.0,0.0
India,Andaman and Nicobar,2019-03-01,COAL,6.93,0.04
India,Andaman and Nicobar,2019-03-01,GAS,0.0,0.0
India,Andaman and Nicobar,2019-03-01,HYDRO,1.07,0.01
India,Andaman and Nicobar,2019-03-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2019-03-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2019-03-01,SOLAR,2.05,0.01
India,Andaman and Nicobar,2019-03-01,WIND,0.0,0.0
India,Andaman and Nicobar,2019-04-01,BIO,0.0,0.0
India,Andaman and Nicobar,2019-04-01,COAL,8.73,0.04
India,Andaman and Nicobar,2019-04-01,GAS,0.0,0.0
India,Andaman and Nicobar,2019-04-01,HYDRO,0.63,0.01
India,Andaman and Nicobar,2019-04-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2019-04-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2019-04-01,SOLAR,1.94,0.01
India,Andaman and Nicobar,2019-04-01,WIND,0.0,0.0
India,Andaman and Nicobar,2019-05-01,BIO,0.0,0.0
India,Andaman and Nicobar,2019-05-01,COAL,8.26,0.04
India,Andaman and Nicobar,2019-05-01,GAS,0.0,0.0
India,Andaman and Nicobar,2019-05-01,HYDRO,0.13,0.01
India,Andaman and Nicobar,2019-05-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2019-05-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2019-05-01,SOLAR,1.65,0.01
India,Andaman and Nicobar,2019-05-01,WIND,0.0,0.0
India,Andaman and Nicobar,2019-06-01,BIO,0.0,0.0
India,Andaman and Nicobar,2019-06-01,COAL,7.0,0.04
India,Andaman and Nicobar,2019-06-01,GAS,0.0,0.0
India,Andaman and Nicobar,2019-06-01,HYDRO,0.04,0.01
India,Andaman and Nicobar,2019-06-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2019-06-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2019-06-01,SOLAR,1.17,0.01
India,Andaman and Nicobar,2019-06-01,WIND,0.0,0.0
India,Andaman and Nicobar,2019-07-01,BIO,0.0,0.0
India,Andaman and Nicobar,2019-07-01,COAL,7.79,0.04
India,Andaman and Nicobar,2019-07-01,GAS,0.0,0.0
India,Andaman and Nicobar,2019-07-01,HYDRO,0.0,0.01
India,Andaman and Nicobar,2019-07-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2019-07-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2019-07-01,SOLAR,1.01,0.01
India,Andaman and Nicobar,2019-07-01,WIND,0.0,0.0
India,Andaman and Nicobar,2019-08-01,BIO,0.0,0.0
India,Andaman and Nicobar,2019-08-01,COAL,7.04,0.04
India,Andaman and Nicobar,2019-08-01,GAS,0.0,0.0
India,Andaman and Nicobar,2019-08-01,HYDRO,0.0,0.01
India,Andaman and Nicobar,2019-08-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2019-08-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2019-08-01,SOLAR,0.46,0.01
India,Andaman and Nicobar,2019-08-01,WIND,0.0,0.0
India,Andaman and Nicobar,2019-09-01,BIO,0.0,0.0
India,Andaman and Nicobar,2019-09-01,COAL,6.86,0.04
India,Andaman and Nicobar,2019-09-01,GAS,0.0,0.0
India,Andaman and Nicobar,2019-09-01,HYDRO,0.07,0.01
India,Andaman and Nicobar,2019-09-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2019-09-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2019-09-01,SOLAR,0.58,0.01
India,Andaman and Nicobar,2019-09-01,WIND,0.0,0.0
India,Andaman and Nicobar,2019-10-01,BIO,0.0,0.0
India,Andaman and Nicobar,2019-10-01,COAL,7.29,0.04
India,Andaman and Nicobar,2019-10-01,GAS,0.0,0.0
India,Andaman and Nicobar,2019-10-01,HYDRO,0.94,0.01
India,Andaman and Nicobar,2019-10-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2019-10-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2019-10-01,SOLAR,0.8,0.01
India,Andaman and Nicobar,2019-10-01,WIND,0.0,0.0
India,Andaman and Nicobar,2019-11-01,BIO,0.0,0.0
India,Andaman and Nicobar,2019-11-01,COAL,7.28,0.04
India,Andaman and Nicobar,2019-11-01,GAS,0.0,0.0
India,Andaman and Nicobar,2019-11-01,HYDRO,1.51,0.01
India,Andaman and Nicobar,2019-11-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2019-11-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2019-11-01,SOLAR,0.61,0.01
India,Andaman and Nicobar,2019-11-01,WIND,0.0,0.0
India,Andaman and Nicobar,2019-12-01,BIO,0.0,0.0
India,Andaman and Nicobar,2019-12-01,COAL,7.62,0.04
India,Andaman and Nicobar,2019-12-01,GAS,0.0,0.0
India,Andaman and Nicobar,2019-12-01,HYDRO,1.05,0.01
India,Andaman and Nicobar,2019-12-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2019-12-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2019-12-01,SOLAR,0.75,0.01
India,Andaman and Nicobar,2019-12-01,WIND,0.0,0.0
India,Andaman and Nicobar,2020-01-01,BIO,0.0,0.0
India,Andaman and Nicobar,2020-01-01,COAL,6.72,0.04
India,Andaman and Nicobar,2020-01-01,GAS,0.0,0.0
India,Andaman and Nicobar,2020-01-01,HYDRO,0.74,0.01
India,Andaman and Nicobar,2020-01-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2020-01-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2020-01-01,SOLAR,0.9,0.01
India,Andaman and Nicobar,2020-01-01,WIND,0.0,0.0
India,Andaman and Nicobar,2020-02-01,BIO,0.0,0.0
India,Andaman and Nicobar,2020-02-01,COAL,10.44,0.04
India,Andaman and Nicobar,2020-02-01,GAS,0.0,0.0
India,Andaman and Nicobar,2020-02-01,HYDRO,0.74,0.01
India,Andaman and Nicobar,2020-02-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2020-02-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2020-02-01,SOLAR,0.86,0.01
India,Andaman and Nicobar,2020-02-01,WIND,0.0,0.0
India,Andaman and Nicobar,2020-03-01,BIO,0.0,0.0
India,Andaman and Nicobar,2020-03-01,COAL,11.16,0.04
India,Andaman and Nicobar,2020-03-01,GAS,0.0,0.0
India,Andaman and Nicobar,2020-03-01,HYDRO,0.29,0.01
India,Andaman and Nicobar,2020-03-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2020-03-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2020-03-01,SOLAR,0.86,0.01
India,Andaman and Nicobar,2020-03-01,WIND,0.0,0.0
India,Andaman and Nicobar,2020-04-01,BIO,0.0,0.0
India,Andaman and Nicobar,2020-04-01,COAL,10.8,0.04
India,Andaman and Nicobar,2020-04-01,GAS,0.0,0.0
India,Andaman and Nicobar,2020-04-01,HYDRO,0.29,0.01
India,Andaman and Nicobar,2020-04-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2020-04-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2020-04-01,SOLAR,0.86,0.01
India,Andaman and Nicobar,2020-04-01,WIND,0.0,0.0
India,Andaman and Nicobar,2020-05-01,BIO,0.0,0.0
India,Andaman and Nicobar,2020-05-01,COAL,11.16,0.04
India,Andaman and Nicobar,2020-05-01,GAS,0.0,0.0
India,Andaman and Nicobar,2020-05-01,HYDRO,0.1,0.01
India,Andaman and Nicobar,2020-05-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2020-05-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2020-05-01,SOLAR,0.93,0.01
India,Andaman and Nicobar,2020-05-01,WIND,0.0,0.0
India,Andaman and Nicobar,2020-06-01,BIO,0.0,0.0
India,Andaman and Nicobar,2020-06-01,COAL,10.8,0.04
India,Andaman and Nicobar,2020-06-01,GAS,0.0,0.0
India,Andaman and Nicobar,2020-06-01,HYDRO,0.68,0.01
India,Andaman and Nicobar,2020-06-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2020-06-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2020-06-01,SOLAR,1.01,0.01
India,Andaman and Nicobar,2020-06-01,WIND,0.0,0.0
India,Andaman and Nicobar,2020-07-01,BIO,0.0,0.0
India,Andaman and Nicobar,2020-07-01,COAL,11.16,0.04
India,Andaman and Nicobar,2020-07-01,GAS,0.0,0.0
India,Andaman and Nicobar,2020-07-01,HYDRO,0.69,0.01
India,Andaman and Nicobar,2020-07-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2020-07-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2020-07-01,SOLAR,1.39,0.02
India,Andaman and Nicobar,2020-07-01,WIND,0.0,0.0
India,Andaman and Nicobar,2020-08-01,BIO,0.0,0.0
India,Andaman and Nicobar,2020-08-01,COAL,11.16,0.04
India,Andaman and Nicobar,2020-08-01,GAS,0.0,0.0
India,Andaman and Nicobar,2020-08-01,HYDRO,1.6,0.01
India,Andaman and Nicobar,2020-08-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2020-08-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2020-08-01,SOLAR,1.41,0.03
India,Andaman and Nicobar,2020-08-01,WIND,0.0,0.0
India,Andaman and Nicobar,2020-09-01,BIO,0.0,0.0
India,Andaman and Nicobar,2020-09-01,COAL,10.4,0.04
India,Andaman and Nicobar,2020-09-01,GAS,0.0,0.0
India,Andaman and Nicobar,2020-09-01,HYDRO,4.81,0.01
India,Andaman and Nicobar,2020-09-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2020-09-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2020-09-01,SOLAR,7.61,0.03
India,Andaman and Nicobar,2020-09-01,WIND,0.0,0.0
India,Andaman and Nicobar,2020-10-01,BIO,0.0,0.0
India,Andaman and Nicobar,2020-10-01,COAL,5.75,0.04
India,Andaman and Nicobar,2020-10-01,GAS,0.0,0.0
India,Andaman and Nicobar,2020-10-01,HYDRO,1.74,0.01
India,Andaman and Nicobar,2020-10-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2020-10-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2020-10-01,SOLAR,1.41,0.03
India,Andaman and Nicobar,2020-10-01,WIND,0.0,0.0
India,Andaman and Nicobar,2020-11-01,BIO,0.0,0.0
India,Andaman and Nicobar,2020-11-01,COAL,20.89,0.04
India,Andaman and Nicobar,2020-11-01,GAS,0.0,0.0
India,Andaman and Nicobar,2020-11-01,HYDRO,1.74,0.01
India,Andaman and Nicobar,2020-11-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2020-11-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2020-11-01,SOLAR,1.41,0.03
India,Andaman and Nicobar,2020-11-01,WIND,0.0,0.0
India,Andaman and Nicobar,2020-12-01,BIO,0.0,0.0
India,Andaman and Nicobar,2020-12-01,COAL,5.78,0.04
India,Andaman and Nicobar,2020-12-01,GAS,0.0,0.0
India,Andaman and Nicobar,2020-12-01,HYDRO,0.99,0.01
India,Andaman and Nicobar,2020-12-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2020-12-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2020-12-01,SOLAR,1.97,0.03
India,Andaman and Nicobar,2020-12-01,WIND,0.0,0.0
India,Andaman and Nicobar,2021-01-01,BIO,0.0,0.0
India,Andaman and Nicobar,2021-01-01,COAL,5.92,0.04
India,Andaman and Nicobar,2021-01-01,GAS,0.0,0.0
India,Andaman and Nicobar,2021-01-01,HYDRO,0.72,0.01
India,Andaman and Nicobar,2021-01-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2021-01-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2021-01-01,SOLAR,2.12,0.03
India,Andaman and Nicobar,2021-01-01,WIND,0.0,0.0
India,Andaman and Nicobar,2021-02-01,BIO,0.0,0.0
India,Andaman and Nicobar,2021-02-01,COAL,6.37,0.04
India,Andaman and Nicobar,2021-02-01,GAS,0.0,0.0
India,Andaman and Nicobar,2021-02-01,HYDRO,0.73,0.01
India,Andaman and Nicobar,2021-02-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2021-02-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2021-02-01,SOLAR,1.87,0.03
India,Andaman and Nicobar,2021-02-01,WIND,0.0,0.0
India,Andaman and Nicobar,2021-03-01,BIO,0.0,0.0
India,Andaman and Nicobar,2021-03-01,COAL,8.29,0.04
India,Andaman and Nicobar,2021-03-01,GAS,0.0,0.0
India,Andaman and Nicobar,2021-03-01,HYDRO,0.6,0.01
India,Andaman and Nicobar,2021-03-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2021-03-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2021-03-01,SOLAR,2.84,0.03
India,Andaman and Nicobar,2021-03-01,WIND,0.0,0.0
India,Andaman and Nicobar,2021-04-01,BIO,0.0,0.0
India,Andaman and Nicobar,2021-04-01,COAL,6.92,0.04
India,Andaman and Nicobar,2021-04-01,GAS,0.0,0.0
India,Andaman and Nicobar,2021-04-01,HYDRO,0.39,0.01
India,Andaman and Nicobar,2021-04-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2021-04-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2021-04-01,SOLAR,2.49,0.03
India,Andaman and Nicobar,2021-04-01,WIND,0.0,0.0
India,Andaman and Nicobar,2021-05-01,BIO,0.0,0.0
India,Andaman and Nicobar,2021-05-01,COAL,6.75,0.04
India,Andaman and Nicobar,2021-05-01,GAS,0.0,0.0
India,Andaman and Nicobar,2021-05-01,HYDRO,0.44,0.01
India,Andaman and Nicobar,2021-05-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2021-05-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2021-05-01,SOLAR,1.6,0.03
India,Andaman and Nicobar,2021-05-01,WIND,0.0,0.0
India,Andaman and Nicobar,2021-06-01,BIO,0.0,0.0
India,Andaman and Nicobar,2021-06-01,COAL,6.59,0.04
India,Andaman and Nicobar,2021-06-01,GAS,0.0,0.0
India,Andaman and Nicobar,2021-06-01,HYDRO,0.93,0.01
India,Andaman and Nicobar,2021-06-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2021-06-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2021-06-01,SOLAR,1.82,0.03
India,Andaman and Nicobar,2021-06-01,WIND,0.0,0.0
India,Andaman and Nicobar,2021-07-01,BIO,0.0,0.0
India,Andaman and Nicobar,2021-07-01,COAL,7.66,0.04
India,Andaman and Nicobar,2021-07-01,GAS,0.0,0.0
India,Andaman and Nicobar,2021-07-01,HYDRO,1.47,0.01
India,Andaman and Nicobar,2021-07-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2021-07-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2021-07-01,SOLAR,1.15,0.03
India,Andaman and Nicobar,2021-07-01,WIND,0.0,0.0
India,Andaman and Nicobar,2021-08-01,BIO,0.0,0.0
India,Andaman and Nicobar,2021-08-01,COAL,7.11,0.04
India,Andaman and Nicobar,2021-08-01,GAS,0.0,0.0
India,Andaman and Nicobar,2021-08-01,HYDRO,1.69,0.01
India,Andaman and Nicobar,2021-08-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2021-08-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2021-08-01,SOLAR,1.34,0.03
India,Andaman and Nicobar,2021-08-01,WIND,0.0,0.0
India,Andaman and Nicobar,2021-09-01,BIO,0.0,0.0
India,Andaman and Nicobar,2021-09-01,COAL,7.08,0.04
India,Andaman and Nicobar,2021-09-01,GAS,0.0,0.0
India,Andaman and Nicobar,2021-09-01,HYDRO,1.69,0.01
India,Andaman and Nicobar,2021-09-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2021-09-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2021-09-01,SOLAR,1.34,0.03
India,Andaman and Nicobar,2021-09-01,WIND,0.0,0.0
India,Andaman and Nicobar,2021-10-01,BIO,0.0,0.0
India,Andaman and Nicobar,2021-10-01,COAL,15.09,0.04
India,Andaman and Nicobar,2021-10-01,GAS,0.0,0.0
India,Andaman and Nicobar,2021-10-01,HYDRO,1.65,0.01
India,Andaman and Nicobar,2021-10-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2021-10-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2021-10-01,SOLAR,1.86,0.03
India,Andaman and Nicobar,2021-10-01,WIND,0.0,0.0
India,Andaman and Nicobar,2021-11-01,BIO,0.0,0.0
India,Andaman and Nicobar,2021-11-01,COAL,9.54,0.04
India,Andaman and Nicobar,2021-11-01,GAS,0.0,0.0
India,Andaman and Nicobar,2021-11-01,HYDRO,1.46,0.01
India,Andaman and Nicobar,2021-11-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2021-11-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2021-11-01,SOLAR,1.88,0.03
India,Andaman and Nicobar,2021-11-01,WIND,0.0,0.0
India,Andaman and Nicobar,2021-12-01,BIO,0.0,0.0
India,Andaman and Nicobar,2021-12-01,COAL,8.11,0.04
India,Andaman and Nicobar,2021-12-01,GAS,0.0,0.0
India,Andaman and Nicobar,2021-12-01,HYDRO,1.21,0.01
India,Andaman and Nicobar,2021-12-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2021-12-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2021-12-01,SOLAR,2.14,0.03
India,Andaman and Nicobar,2021-12-01,WIND,0.0,0.0
India,Andaman and Nicobar,2022-01-01,BIO,0.0,0.0
India,Andaman and Nicobar,2022-01-01,COAL,19.19,0.04
India,Andaman and Nicobar,2022-01-01,GAS,0.0,0.0
India,Andaman and Nicobar,2022-01-01,HYDRO,0.86,0.01
India,Andaman and Nicobar,2022-01-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2022-01-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2022-01-01,SOLAR,1.89,0.03
India,Andaman and Nicobar,2022-01-01,WIND,0.0,0.0
India,Andaman and Nicobar,2022-02-01,BIO,0.0,0.0
India,Andaman and Nicobar,2022-02-01,COAL,8.06,0.04
India,Andaman and Nicobar,2022-02-01,GAS,0.0,0.0
India,Andaman and Nicobar,2022-02-01,HYDRO,0.66,0.01
India,Andaman and Nicobar,2022-02-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2022-02-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2022-02-01,SOLAR,1.8,0.03
India,Andaman and Nicobar,2022-02-01,WIND,0.0,0.0
India,Andaman and Nicobar,2022-03-01,BIO,0.0,0.0
India,Andaman and Nicobar,2022-03-01,COAL,15.14,0.04
India,Andaman and Nicobar,2022-03-01,GAS,0.0,0.0
India,Andaman and Nicobar,2022-03-01,HYDRO,0.82,0.01
India,Andaman and Nicobar,2022-03-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2022-03-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2022-03-01,SOLAR,2.21,0.03
India,Andaman and Nicobar,2022-03-01,WIND,0.0,0.0
India,Andaman and Nicobar,2022-04-01,BIO,0.0,0.0
India,Andaman and Nicobar,2022-04-01,COAL,11.46,0.04
India,Andaman and Nicobar,2022-04-01,GAS,0.0,0.0
India,Andaman and Nicobar,2022-04-01,HYDRO,0.73,0.01
India,Andaman and Nicobar,2022-04-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2022-04-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2022-04-01,SOLAR,2.69,0.03
India,Andaman and Nicobar,2022-04-01,WIND,0.0,0.0
India,Andaman and Nicobar,2022-05-01,BIO,0.0,0.0
India,Andaman and Nicobar,2022-05-01,COAL,9.44,0.04
India,Andaman and Nicobar,2022-05-01,GAS,0.0,0.0
India,Andaman and Nicobar,2022-05-01,HYDRO,0.73,0.01
India,Andaman and Nicobar,2022-05-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2022-05-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2022-05-01,SOLAR,2.69,0.03
India,Andaman and Nicobar,2022-05-01,WIND,0.0,0.0
India,Andaman and Nicobar,2022-06-01,BIO,0.0,0.0
India,Andaman and Nicobar,2022-06-01,COAL,9.69,0.04
India,Andaman and Nicobar,2022-06-01,GAS,0.0,0.0
India,Andaman and Nicobar,2022-06-01,HYDRO,1.37,0.01
India,Andaman and Nicobar,2022-06-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2022-06-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2022-06-01,SOLAR,1.66,0.03
India,Andaman and Nicobar,2022-06-01,WIND,0.0,0.0
India,Andaman and Nicobar,2022-07-01,BIO,0.0,0.0
India,Andaman and Nicobar,2022-07-01,COAL,10.34,0.04
India,Andaman and Nicobar,2022-07-01,GAS,0.0,0.0
India,Andaman and Nicobar,2022-07-01,HYDRO,1.48,0.01
India,Andaman and Nicobar,2022-07-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2022-07-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2022-07-01,SOLAR,1.64,0.03
India,Andaman and Nicobar,2022-07-01,WIND,0.0,0.0
India,Andaman and Nicobar,2022-08-01,BIO,0.0,0.0
India,Andaman and Nicobar,2022-08-01,COAL,8.69,0.04
India,Andaman and Nicobar,2022-08-01,GAS,0.0,0.0
India,Andaman and Nicobar,2022-08-01,HYDRO,1.78,0.01
India,Andaman and Nicobar,2022-08-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2022-08-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2022-08-01,SOLAR,1.9,0.03
India,Andaman and Nicobar,2022-08-01,WIND,0.0,0.0
