country,state,date,variable,generation_gwh,share_of_generation_pct,emissions_ktco2,share_of_emissions_pct
Türkiye,Adana,2018-01-01,Bioenergy,7.83,0.47,1.8,0.19
Türkiye,Adana,2018-01-01,Coal,1145.5,68.24,939.31,97.89
Türkiye,Adana,2018-01-01,Gas,12.29,0.73,6.02,0.63
Türkiye,Adana,2018-01-01,Geothermal,0,0,0,0
Türkiye,Adana,2018-01-01,Hydro,507.22,30.21,12.17,1.27
Türkiye,Adana,2018-01-01,Other Fossil,0,0,0,0
Türkiye,Adana,2018-01-01,Solar,5.88,0.35,0.28,0.03
Türkiye,Adana,2018-01-01,Wind,0,0,0,0
Türkiye,Adana,2018-02-01,Bioenergy,7.12,0.45,1.64,0.18
Türkiye,Adana,2018-02-01,Coal,1069.82,67.58,877.25,97.87
Türkiye,Adana,2018-02-01,Gas,11,0.69,5.39,0.6
Türkiye,Adana,2018-02-01,Geothermal,0,0,0,0
Türkiye,Adana,2018-02-01,Hydro,487.37,30.79,11.7,1.31
Türkiye,Adana,2018-02-01,Other Fossil,0,0,0,0
Türkiye,Adana,2018-02-01,Solar,7.77,0.49,0.37,0.04
Türkiye,Adana,2018-02-01,Wind,0,0,0,0
Türkiye,Adana,2018-03-01,Bioenergy,7.8,0.42,1.79,0.19
Türkiye,Adana,2018-03-01,Coal,1145.81,62.38,939.56,97.53
Türkiye,Adana,2018-03-01,Gas,11.37,0.62,5.57,0.58
Türkiye,Adana,2018-03-01,Geothermal,0,0,0,0
Türkiye,Adana,2018-03-01,Hydro,660.44,35.96,15.85,1.65
Türkiye,Adana,2018-03-01,Other Fossil,0,0,0,0
Türkiye,Adana,2018-03-01,Solar,11.3,0.62,0.54,0.06
Türkiye,Adana,2018-03-01,Wind,0,0,0,0
Türkiye,Adana,2018-04-01,Bioenergy,7.67,0.46,1.76,0.21
Türkiye,Adana,2018-04-01,Coal,1020.98,61.51,837.2,97.54
Türkiye,Adana,2018-04-01,Gas,8.25,0.5,4.04,0.47
Türkiye,Adana,2018-04-01,Geothermal,0,0,0,0
Türkiye,Adana,2018-04-01,Hydro,607.66,36.61,14.58,1.7
Türkiye,Adana,2018-04-01,Other Fossil,0,0,0,0
Türkiye,Adana,2018-04-01,Solar,15.3,0.92,0.73,0.09
Türkiye,Adana,2018-04-01,Wind,0,0,0,0
Türkiye,Adana,2018-05-01,Bioenergy,8.12,0.51,1.87,0.2
Türkiye,Adana,2018-05-01,Coal,1100.3,68.94,902.25,98
Türkiye,Adana,2018-05-01,Gas,9.56,0.6,4.68,0.51
Türkiye,Adana,2018-05-01,Geothermal,0,0,0,0
Türkiye,Adana,2018-05-01,Hydro,462.83,29,11.11,1.21
Türkiye,Adana,2018-05-01,Other Fossil,0,0,0,0
Türkiye,Adana,2018-05-01,Solar,15.32,0.96,0.74,0.08
Türkiye,Adana,2018-05-01,Wind,0,0,0,0
Türkiye,Adana,2018-06-01,Bioenergy,8.05,0.55,1.85,0.22
Türkiye,Adana,2018-06-01,Coal,1011.01,68.95,829.03,97.87
Türkiye,Adana,2018-06-01,Gas,10.84,0.74,5.31,0.63
Türkiye,Adana,2018-06-01,Geothermal,0,0,0,0
Türkiye,Adana,2018-06-01,Hydro,421.34,28.73,10.11,1.19
Türkiye,Adana,2018-06-01,Other Fossil,0,0,0,0
Türkiye,Adana,2018-06-01,Solar,15.13,1.03,0.73,0.09
Türkiye,Adana,2018-06-01,Wind,0,0,0,0
Türkiye,Adana,2018-07-01,Bioenergy,8.21,0.54,1.89,0.19
Türkiye,Adana,2018-07-01,Coal,1205.51,80.02,988.52,98.89
Türkiye,Adana,2018-07-01,Gas,3.9,0.26,1.91,0.19
Türkiye,Adana,2018-07-01,Geothermal,0,0,0,0
Türkiye,Adana,2018-07-01,Hydro,272.33,18.08,6.54,0.65
Türkiye,Adana,2018-07-01,Other Fossil,0,0,0,0
Türkiye,Adana,2018-07-01,Solar,16.51,1.1,0.79,0.08
Türkiye,Adana,2018-07-01,Wind,0,0,0,0
Türkiye,Adana,2018-08-01,Bioenergy,8.25,0.53,1.9,0.18
Türkiye,Adana,2018-08-01,Coal,1256.82,80.91,1030.59,98.92
Türkiye,Adana,2018-08-01,Gas,4.43,0.29,2.17,0.21
Türkiye,Adana,2018-08-01,Geothermal,0,0,0,0
