date,area,alpha_3,variable,generation_twh
2018-01-01T00:00:00Z,Austria,AUT,Demand,5.9710996
2018-01-01T00:00:00Z,Austria,AUT,Production,5.21927291
2018-01-01T00:00:00Z,Austria,AUT,Net imports,0.59404598
2018-01-01T00:00:00Z,Austria,AUT,Gas,1.1436332
2018-01-01T00:00:00Z,Austria,AUT,Hard Coal,0.21646680000000001
2018-01-01T00:00:00Z,Austria,AUT,Other fossil,0.016367999999999997
2018-01-01T00:00:00Z,Austria,AUT,Bioenergy,0.237244
2018-01-01T00:00:00Z,Austria,AUT,Hydro,2.8973732
2018-01-01T00:00:00Z,Austria,AUT,Other renewables,5.208e-5
2018-01-01T00:00:00Z,Austria,AUT,Solar,0.03398499000000001
2018-01-01T00:00:00Z,Austria,AUT,Wind,0.59975064
2018-01-01T00:00:00Z,Austria,AUT,Waste,0.07440000000000001
2018-02-01T00:00:00Z,Austria,AUT,Demand,5.6319296
2018-02-01T00:00:00Z,Austria,AUT,Production,4.26815751
2018-02-01T00:00:00Z,Austria,AUT,Net imports,0.96283287
2018-02-01T00:00:00Z,Austria,AUT,Gas,1.230728
2018-02-01T00:00:00Z,Austria,AUT,Hard Coal,0.2187252
2018-02-01T00:00:00Z,Austria,AUT,Other fossil,0.014784
2018-02-01T00:00:00Z,Austria,AUT,Bioenergy,0.2112
2018-02-01T00:00:00Z,Austria,AUT,Hydro,2.0296032
2018-02-01T00:00:00Z,Austria,AUT,Other renewables,4.704e-5
2018-02-01T00:00:00Z,Austria,AUT,Solar,0.04864071
2018-02-01T00:00:00Z,Austria,AUT,Wind,0.44722935999999996
2018-02-01T00:00:00Z,Austria,AUT,Waste,0.06720000000000001
2018-03-01T00:00:00Z,Austria,AUT,Demand,5.990424
2018-03-01T00:00:00Z,Austria,AUT,Production,4.15292977
2018-03-01T00:00:00Z,Austria,AUT,Net imports,1.61320373
2018-03-01T00:00:00Z,Austria,AUT,Gas,0.9317588
2018-03-01T00:00:00Z,Austria,AUT,Hard Coal,0.23479640000000002
2018-03-01T00:00:00Z,Austria,AUT,Other fossil,0.016367999999999997
2018-03-01T00:00:00Z,Austria,AUT,Bioenergy,0.229012
2018-03-01T00:00:00Z,Austria,AUT,Hydro,2.0043988
2018-03-01T00:00:00Z,Austria,AUT,Other renewables,5.208e-5
2018-03-01T00:00:00Z,Austria,AUT,Solar,0.09389650000000001
2018-03-01T00:00:00Z,Austria,AUT,Wind,0.56824719
2018-03-01T00:00:00Z,Austria,AUT,Waste,0.07440000000000001
2018-04-01T00:00:00Z,Austria,AUT,Demand,4.8548388000000005
2018-04-01T00:00:00Z,Austria,AUT,Production,4.77508281
2018-04-01T00:00:00Z,Austria,AUT,Net imports,0.03993478
2018-04-01T00:00:00Z,Austria,AUT,Gas,0.2366084
2018-04-01T00:00:00Z,Austria,AUT,Hard Coal,0.0497896
2018-04-01T00:00:00Z,Austria,AUT,Other fossil,0.01584
2018-04-01T00:00:00Z,Austria,AUT,Bioenergy,0.209028
2018-04-01T00:00:00Z,Austria,AUT,Hydro,3.3538364
2018-04-01T00:00:00Z,Austria,AUT,Other renewables,5.04e-5
2018-04-01T00:00:00Z,Austria,AUT,Solar,0.16312311
2018-04-01T00:00:00Z,Austria,AUT,Wind,0.6748069
2018-04-01T00:00:00Z,Austria,AUT,Waste,0.072
2018-05-01T00:00:00Z,Austria,AUT,Demand,4.8601048
2018-05-01T00:00:00Z,Austria,AUT,Production,4.79269841
2018-05-01T00:00:00Z,Austria,AUT,Net imports,-0.15302443
2018-05-01T00:00:00Z,Austria,AUT,Gas,0.10827160000000001
2018-05-01T00:00:00Z,Austria,AUT,Hard Coal,0
2018-05-01T00:00:00Z,Austria,AUT,Other fossil,0.016367999999999997
2018-05-01T00:00:00Z,Austria,AUT,Bioenergy,0.21281999999999998
2018-05-01T00:00:00Z,Austria,AUT,Hydro,3.8569456
2018-05-01T00:00:00Z,Austria,AUT,Other renewables,5.208e-5
2018-05-01T00:00:00Z,Austria,AUT,Solar,0.18522068
2018-05-01T00:00:00Z,Austria,AUT,Wind,0.33862045
2018-05-01T00:00:00Z,Austria,AUT,Waste,0.07440000000000001
2018-06-01T00:00:00Z,Austria,AUT,Demand,4.8864964
2018-06-01T00:00:00Z,Austria,AUT,Production,4.53605587
2018-06-01T00:00:00Z,Austria,AUT,Net imports,0.17896707
2018-06-01T00:00:00Z,Austria,AUT,Gas,0.1846516
2018-06-01T00:00:00Z,Austria,AUT,Hard Coal,0
2018-06-01T00:00:00Z,Austria,AUT,Other fossil,0.01584
2018-06-01T00:00:00Z,Austria,AUT,Bioenergy,0.19913999999999998
2018-06-01T00:00:00Z,Austria,AUT,Hydro,3.3634079999999997
2018-06-01T00:00:00Z,Austria,AUT,Other renewables,5.04e-5
2018-06-01T00:00:00Z,Austria,AUT,Solar,0.189977
2018-06-01T00:00:00Z,Austria,AUT,Wind,0.51098887
2018-06-01T00:00:00Z,Austria,AUT,Waste,0.072
2018-07-01T00:00:00Z,Austria,AUT,Demand,4.7943908
2018-07-01T00:00:00Z,Austria,AUT,Production,3.66176945
2018-07-01T00:00:00Z,Austria,AUT,Net imports,0.98032021
