country,state,date,demand_gwh,emissions_ktco2,emissions_intensity_gco2_per_kwh
Türkiye,Adana,2018-01-01,1678.72,959.5799999999998,571.61
Türkiye,Adana,2018-02-01,1583.08,896.35,566.21
Türkiye,Adana,2018-03-01,1836.7199999999998,963.31,524.47
Türkiye,Adana,2018-04-01,1659.86,858.3100000000001,517.1
Türkiye,Adana,2018-05-01,1596.1299999999997,920.65,576.8
Türkiye,Adana,2018-06-01,1466.37,847.03,577.64
Türkiye,Adana,2018-07-01,1506.46,999.6499999999999,663.58
Türkiye,Adana,2018-08-01,1553.38,1041.88,670.72
Türkiye,Adana,2018-09-01,949.0100000000001,641.27,675.73
Türkiye,Adana,2018-10-01,1098.09,728.2,663.15
Türkiye,Adana,2018-11-01,1431.2300000000002,1009.9300000000002,705.64
Türkiye,Adana,2018-12-01,1861.16,1028.7,552.72
Türkiye,Adana,2019-01-01,1897.5900000000001,703.3900000000001,370.68
Türkiye,Adana,2019-02-01,1969.03,875.9000000000001,444.84
Türkiye,Adana,2019-03-01,1576.8000000000002,548.53,347.88
Türkiye,Adana,2019-04-01,1522.37,403.72,265.19
Türkiye,Adana,2019-05-01,1055.5800000000002,265.57,251.59
Türkiye,Adana,2019-06-01,1008.34,418.54,415.08
Türkiye,Adana,2019-07-01,1242.8000000000002,708.4200000000001,570.02
Türkiye,Adana,2019-08-01,1477.1200000000001,960.13,650
Türkiye,Adana,2019-09-01,1386.92,916.5600000000002,660.86
Türkiye,Adana,2019-10-01,1462.6000000000001,968.28,662.03
Türkiye,Adana,2019-11-01,1390.7800000000002,965.56,694.26
Türkiye,Adana,2019-12-01,1648.94,1050.49,637.07
Türkiye,Adana,2020-01-01,1745.8900000000003,1060.7900000000002,607.59
Türkiye,Adana,2020-02-01,2057.63,1006.2499999999999,489.03
Türkiye,Adana,2020-03-01,2111.28,854.02,404.5
Türkiye,Adana,2020-04-01,1757.16,589.2099999999999,335.32
Türkiye,Adana,2020-05-01,1591.3,667.09,419.21
Türkiye,Adana,2020-06-01,1591.47,924.0699999999999,580.64
Türkiye,Adana,2020-07-01,1669.52,1060.69,635.33
Türkiye,Adana,2020-08-01,1532.3800000000003,1012.1100000000001,660.48
Türkiye,Adana,2020-09-01,1465.73,978.02,667.26
Türkiye,Adana,2020-10-01,956.91,593.41,620.13
Türkiye,Adana,2020-11-01,1253.84,875.8900000000001,698.57
Türkiye,Adana,2020-12-01,1266.0500000000002,865.7499999999999,683.82
Türkiye,Adana,2021-01-01,1310.72,794.14,605.88
Türkiye,Adana,2021-02-01,1460.6299999999999,899.79,616.03
Türkiye,Adana,2021-03-01,1731.87,996.8599999999999,575.6
Türkiye,Adana,2021-04-01,1492,750.7300000000001,503.17
Türkiye,Adana,2021-05-01,1129.8799999999999,613.1,542.62
Türkiye,Adana,2021-06-01,1409.7800000000002,879.25,623.68
Türkiye,Adana,2021-07-01,1358.68,887.5799999999999,653.27
Türkiye,Adana,2021-08-01,1268.8300000000004,855.2900000000001,674.08
Türkiye,Adana,2021-09-01,1134.51,761.66,671.36
Türkiye,Adana,2021-10-01,782.8600000000001,492.8,629.49
Türkiye,Adana,2021-11-01,1183.0099999999998,822.3399999999999,695.13
Türkiye,Adana,2021-12-01,1337.31,936.2099999999999,700.07
Türkiye,Adana,2022-01-01,1627.37,992.1799999999998,609.68
Türkiye,Adana,2022-02-01,1763.9099999999999,952.03,539.73
Türkiye,Adana,2022-03-01,1776.08,628.29,353.75
Türkiye,Adana,2022-04-01,1212.11,431.57000000000005,356.05
Türkiye,Adana,2022-05-01,1050.27,457.2299999999999,435.35
Türkiye,Adana,2022-06-01,1590.07,954.1299999999999,600.06
Türkiye,Adana,2022-07-01,1649.54,1040.02,630.49
Türkiye,Adana,2022-08-01,1892.8700000000003,1342.2799999999997,709.12
Türkiye,Adana,2022-09-01,1952.1200000000003,1404.51,719.48
Türkiye,Adana,2022-10-01,2074.5,1524.8999999999996,735.07
Türkiye,Adana,2022-11-01,2261.23,1716.8199999999997,759.24
Türkiye,Adana,2022-12-01,2289.09,1701.2799999999997,743.21
Türkiye,Adıyaman,2018-01-01,58.65,1.51,25.75
Türkiye,Adıyaman,2018-02-01,67.31,1.76,26.15
Türkiye,Adıyaman,2018-03-01,101.39000000000001,2.7,26.63
Türkiye,Adıyaman,2018-04-01,68.64,1.97,28.7
Türkiye,Adıyaman,2018-05-01,71.05,2.04,28.71
Türkiye,Adıyaman,2018-06-01,46.459999999999994,1.49,32.07
Türkiye,Adıyaman,2018-07-01,39.57,1.35,34.12
Türkiye,Adıyaman,2018-08-01,34.690000000000005,1.2000000000000002,34.59
Türkiye,Adıyaman,2018-09-01,28.82,1.01,35.05
Türkiye,Adıyaman,2018-10-01,35.55,1.07,30.1
Türkiye,Adıyaman,2018-11-01,33.4,0.9700000000000001,29.04
Türkiye,Adıyaman,2018-12-01,113.68,2.8099999999999996,24.72
Türkiye,Adıyaman,2019-01-01,126.02000000000001,3.1100000000000003,24.68
Türkiye,Adıyaman,2019-02-01,115.33999999999999,2.96,25.66
Türkiye,Adıyaman,2019-03-01,134.46,3.45,25.66
Türkiye,Adıyaman,2019-04-01,137.19,3.5700000000000003,26.02
Türkiye,Adıyaman,2019-05-01,139.33,3.77,27.06
Türkiye,Adıyaman,2019-06-01,96.28,2.74,28.46
Türkiye,Adıyaman,2019-07-01,76.80000000000001,2.26,29.43
Türkiye,Adıyaman,2019-08-01,59.220000000000006,1.83,30.9
Türkiye,Adıyaman,2019-09-01,44.480000000000004,1.4700000000000002,33.05
Türkiye,Adıyaman,2019-10-01,38.13,1.24,32.52
Türkiye,Adıyaman,2019-11-01,36.620000000000005,1.16,31.68
Türkiye,Adıyaman,2019-12-01,58.919999999999995,1.53,25.97
Türkiye,Adıyaman,2020-01-01,89.32000000000001,2.31,25.86
Türkiye,Adıyaman,2020-02-01,108.08999999999999,2.77,25.63
Türkiye,Adıyaman,2020-03-01,149.98999999999998,3.9199999999999995,26.14
Türkiye,Adıyaman,2020-04-01,151.83999999999997,4.0600000000000005,26.74
Türkiye,Adıyaman,2020-05-01,120.72000000000001,3.34,27.67
Türkiye,Adıyaman,2020-06-01,79.59,2.39,30.03
Türkiye,Adıyaman,2020-07-01,61.41000000000001,1.9400000000000002,31.59
Türkiye,Adıyaman,2020-08-01,52.91,1.7200000000000002,32.51
Türkiye,Adıyaman,2020-09-01,37.720000000000006,1.34,35.52
Türkiye,Adıyaman,2020-10-01,36.92,1.3,35.21
Türkiye,Adıyaman,2020-11-01,43.2,1.32,30.56
Türkiye,Adıyaman,2020-12-01,52.2,1.52,29.12
Türkiye,Adıyaman,2021-01-01,67.2,1.8599999999999999,27.68
Türkiye,Adıyaman,2021-02-01,97.22,2.68,27.57
Türkiye,Adıyaman,2021-03-01,104.07,2.9,27.87
Türkiye,Adıyaman,2021-04-01,106.4,3.03,28.48
Türkiye,Adıyaman,2021-05-01,78.11,2.47,31.62
Türkiye,Adıyaman,2021-06-01,57.92,1.98,34.19
Türkiye,Adıyaman,2021-07-01,52.33,1.81,34.59
Türkiye,Adıyaman,2021-08-01,44.480000000000004,1.6800000000000002,37.77
Türkiye,Adıyaman,2021-09-01,42.620000000000005,1.6099999999999999,37.78
Türkiye,Adıyaman,2021-10-01,40.989999999999995,1.5899999999999999,38.79
Türkiye,Adıyaman,2021-11-01,29.85,1.07,35.85
Türkiye,Adıyaman,2021-12-01,39.23,1.2499999999999998,31.86
Türkiye,Adıyaman,2022-01-01,50.66,1.41,27.83
Türkiye,Adıyaman,2022-02-01,88.08,2.4699999999999998,28.04
Türkiye,Adıyaman,2022-03-01,143.39,3.9,27.2
Türkiye,Adıyaman,2022-04-01,129.3,3.75,29
Türkiye,Adıyaman,2022-05-01,100.09999999999998,3.0800000000000005,30.77
Türkiye,Adıyaman,2022-06-01,71.1,2.44,34.32
